"Date","RTA","FP","Market","Period"
2018-12-07,0.00773840543587332,4.76009635925293,"USA","P1: 2018-2019 (Pre-COVID)"
2018-12-10,0.0093600305675728,3.9765998840332,"USA","P1: 2018-2019 (Pre-COVID)"
2018-12-11,0.00757978959565848,4.23609924316406,"USA","P1: 2018-2019 (Pre-COVID)"
2018-12-12,0.00528036117380456,2.47410049438477,"USA","P1: 2018-2019 (Pre-COVID)"
2018-12-13,0.00737197498974726,2.10559959411621,"USA","P1: 2018-2019 (Pre-COVID)"
2018-12-14,0.0178989839170796,4.02485313415527,"USA","P1: 2018-2019 (Pre-COVID)"
2018-12-17,0.0140831570916181,4.14009780883789,"USA","P1: 2018-2019 (Pre-COVID)"
2018-12-18,0.0146320519270985,2.86319923400879,"USA","P1: 2018-2019 (Pre-COVID)"
2018-12-19,0.00797239523903181,5.17275123596191,"USA","P1: 2018-2019 (Pre-COVID)"
2018-12-20,0.00703841459823618,4.07029991149902,"USA","P1: 2018-2019 (Pre-COVID)"
2018-12-21,0.0128206816014683,4.98945045471191,"USA","P1: 2018-2019 (Pre-COVID)"
2018-12-24,0.0138594297561117,4.12014999389648,"USA","P1: 2018-2019 (Pre-COVID)"
2018-12-26,0.0107683575020467,6.61549987792969,"USA","P1: 2018-2019 (Pre-COVID)"
2018-12-27,0.00745623258948575,4.78595275878906,"USA","P1: 2018-2019 (Pre-COVID)"
2018-12-28,0.00610454925895768,2.64760093688965,"USA","P1: 2018-2019 (Pre-COVID)"
2018-12-31,0.00534902003590422,1.98680191040039,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-02,0.0125281654923511,3.83965148925781,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-03,0.0140319969591773,2.97445182800293,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-04,0.00421979022082655,3.53419952392578,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-07,0.00940593157139714,2.48109855651855,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-08,0.0094301569212856,2.73750038146973,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-09,0.00880546136212765,2.07150115966797,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-10,0.00758654215998697,2.35690116882324,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-11,0.00563287979648183,1.927099609375,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-14,0.0069342114825445,2.22149887084961,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-15,0.00824629476011091,2.44025230407715,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-16,0.01458914321295,2.54659957885742,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-17,0.00348592949266026,3.07234725952148,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-18,0.00443753777057247,2.21179847717285,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-22,0.00661459763902742,3.06009941101074,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-23,0.00894878287975075,2.48115081787109,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-24,0.00642622390158388,2.20989875793457,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-25,0.00674693510247562,1.84460182189941,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-28,0.00597240215376557,1.84530067443848,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-29,0.00939749139501219,2.09380073547363,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-30,0.0161105201229377,2.7703498840332,"USA","P1: 2018-2019 (Pre-COVID)"
2019-01-31,0.0148587075020863,2.92265167236328,"USA","P1: 2018-2019 (Pre-COVID)"
2019-02-01,0.015379072101645,2.29549827575684,"USA","P1: 2018-2019 (Pre-COVID)"
2019-02-04,0.0107878470620385,2.48015022277832,"USA","P1: 2018-2019 (Pre-COVID)"
2019-02-05,0.00889622391490645,2.10005149841309,"USA","P1: 2018-2019 (Pre-COVID)"
2019-02-06,0.00441757792135872,2.01459999084473,"USA","P1: 2018-2019 (Pre-COVID)"
2019-02-07,0.00463547926887096,2.2901496887207,"USA","P1: 2018-2019 (Pre-COVID)"
2019-02-08,0.0049769949799157,2.06815071105957,"USA","P1: 2018-2019 (Pre-COVID)"
2019-02-11,0.00355005702082149,1.74844932556152,"USA","P1: 2018-2019 (Pre-COVID)"
2019-02-12,0.00529843973293575,1.80509796142578,"USA","P1: 2018-2019 (Pre-COVID)"
2019-02-13,0.00353471159926012,1.67234573364258,"USA","P1: 2018-2019 (Pre-COVID)"
2019-02-14,0.0128427620822089,1.94020118713379,"USA","P1: 2018-2019 (Pre-COVID)"
2019-02-15,0.0118845423365504,2.1517993927002,"USA","P1: 2018-2019 (Pre-COVID)"
2019-02-19,0.00610431215040978,1.55795021057129,"USA","P1: 2018-2019 (Pre-COVID)"
2019-02-20,0.00528572949991017,1.44430274963379,"USA","P1: 2018-2019 (Pre-COVID)"
